Fecha;Ciclo;Operador_Red;Comercializador;Nivel_Tension;Tipo_Red;Comb_NT;Dueno_Red;G;T;D;Cv;PR;R;CU
2026-04-01;202604;AIR-E;AIR-E;1;;;100% OPERADOR;312,55;55,95;127,34;186,43;77,18;36,48;795,93
2026-04-01;202604;AIR-E;AIR-E;2;;;100% OPERADOR;312,55;55,95;85,92;132,03;24,75;36,48;647,68
2026-04-01;202604;AIR-E;AIR-E;3;;;100% OPERADOR;312,55;55,95;63,45;132,03;21,19;36,48;621,64
2026-04-01;202604;AIR-E;AIR-E;4;;;100% OPERADOR;312,55;55,95;39,84;132,03;11,45;36,48;588,3
2026-05-01;202605;AIR-E;AIR-E;1;;;100% OPERADOR;353,61;38,46;126,95;148,89;82,66;45,35;795,93
2026-05-01;202605;AIR-E;AIR-E;2;;;100% OPERADOR;353,61;38,46;85,92;124,34;26,73;45,35;674,41
2026-05-01;202605;AIR-E;AIR-E;3;;;100% OPERADOR;353,61;38,46;63,69;124,34;22,93;45,35;648,38
2026-05-01;202605;AIR-E;AIR-E;4;;;100% OPERADOR;353,61;38,46;40,88;124,34;12,55;45,35;615,19
