Fecha;Ciclo;Operador_Red;Comercializador;Nivel_Tension;Tipo_Red;Comb_NT;Dueno_Red;G;T;D;Cv;PR;R;CU
2025-09-01;202509;CODENSA;CODENSA;1;SDL;NT1;100% OPERADOR;294,5842;51,661;305,194;76,9961;59,9005;30,4983;818,8341
2025-09-01;202509;CODENSA;CODENSA;2;SDL;NT2;100% OPERADOR;294,5842;51,661;305,194;76,9961;59,9005;30,4983;818,8341
2025-09-01;202509;CODENSA;CODENSA;3;SDL;NT3;100% OPERADOR;294,5842;51,661;305,194;76,9961;59,9005;30,4983;818,8341
2025-09-01;202509;CODENSA;CODENSA;4;SDL;NT4;100% OPERADOR;294,5842;51,661;305,194;76,9961;59,9005;30,4983;818,8341
2026-05-01;202605;CODENSA;CODENSA;1;SDL;NT1;100% OPERADOR;336,239;38,4612;287,1205;81,7983;64,3606;31,6946;839,6742
2026-05-01;202605;CODENSA;CODENSA;2;SDL;NT2;100% OPERADOR;336,239;38,4612;191,3385;81,7983;22,1548;31,6946;701,6864
2026-05-01;202605;CODENSA;CODENSA;3;SDL;NT3;100% OPERADOR;336,239;38,4612;121,6682;81,7983;21,5265;31,6946;631,3878
2026-05-01;202605;CODENSA;CODENSA;4;SDL;NT4;100% OPERADOR;336,239;38,4612;35,1903;81,7983;13,4244;31,6946;536,8078
